Title,DOI,Country,Qualitative data methods,How the clinical trial Used Qualitative Data?,Barriers to the use of qualitative data,Raw qualitative data shared?,Where is the data shared?
Morita Therapy for depression (Morita Trial): an embedded qualitative study of acceptability,10.1136/bmjopen-2018-023873,UK,"Semistructured interviews, framework analysis","Yes; qualitative data was used through post-treatment semistructured interviews analyzed with a framework approach to explore participants' views on the acceptability of Morita Therapy, informing treatment acceptability and protocol modifications.",Small sample size due to limited eligible participants; challenges in capturing changes over time and interactions between acceptability and other factors,No,Not applicable
Perceived Acceptability and Experiences of a Digital Psychoeducation and Peer Support Intervention (COPe-support): Interview Study With Carers Supporting Individuals With Psychosis,10.2196/27781,UK,"interviews, thematic analysis",Yes; qualitative data was used to explore carers' experiences and perceived acceptability of the COPe-support intervention through semistructured interviews analyzed via thematic analysis.,Not mentioned,No,Not applicable
The IHAT-GUT Iron Supplementation Trial in Rural Gambia: Barriers,10.3390/nu13041140,Gambia,"individual interviews, inductive thematic analysis","Yes; qualitative data was used to explore trial staff perceptions of barriers and facilitators to conducting the clinical trial in a rural, resource-poor setting through interviews and thematic analysis.",Not mentioned,No,Not applicable
Implementing and evaluating care and support planning: a qualitative study of health professionals' experiences in public polyclinics in Singapore,10.1186/s12875-023-02168-5,Singapore,"semi-structured interviews, interpretive analysis","Yes; qualitative data was used to explore health professionals' perspectives and experiences of implementing Care and Support Planning (CSP) within a clinical trial, including their interpretations, enactments, and challenges faced.","Challenges included linguistic and educational diversity of patients, cultural shifts required, workload pressures, organisational factors limiting continuity of care, and policies emphasizing biomedical measures; no explicit mention of other barriers such as cost or ethics.",No,Not applicable
Longitudinal qualitative study of living with neurogenic claudication,10.1136/bmjopen-2021-060128,UK,"semi-structured interviews, longitudinal qualitative study","Yes; qualitative data was used through longitudinal semi-structured interviews at three time points to explore participant experiences and trajectories over 12 months, focusing on biopsychosocial domains and changes over time.",Summarising data resulted in loss of nuance; potential categorisation variability; shaped by research interest; no explicit mention of other barriers such as cost or ethics.,No,Not applicable
"Fidelity, pragmatism and the ""grey line"" in between-exploring the delivery of a pragmatic physical activity randomised controlled trial-a secondary analysis",10.1186/s12874-024-02242-1,UK,"participant observation, semi-structured interviews, documentary analysis, thematic analysis","Yes; qualitative data was used to explore challenges in maintaining intervention fidelity through interviews and observations of therapy staff delivering the intervention, analyzed thematically to understand adaptation and protocol adherence issues.","Small sample size at some sites due to slow recruitment, challenges in recruitment of therapy staff, not explicitly mentioning other barriers such as cost or ethics.",No,Not applicable
"Ketogenic diets as an adjuvant therapy for glioblastoma (KEATING): a randomized, mixed methods, feasibility study",10.1007/s11060-020-03417-8,UK,"Semi-structured interviews, thematic analysis","Yes; qualitative data was used to explore patients' and caregivers' perspectives on decision-making about trial participation and diet adherence, informing trial feasibility and future trial design",Not mentioned,No,Not applicable
Experience of patients and physiotherapists within the AFTER pilot randomised trial of two rehabilitation interventions for people aged 50 years and over post ankle fracture: a qualitative study,10.1136/bmjopen-2023-071678,UK,"interviews, focus groups, phenomenology","Yes; qualitative data was used to explore patient and staff experiences of two rehabilitation interventions through interviews and a focus group, providing insights into acceptability and complexity of treatment delivery.","Limited sample size and timing of interviews (only post-treatment, not during), which may limit transferability; no other specific barriers mentioned.",No,Not applicable
Attitudes and adherence to changes in nutrition and physical activity following surgery for prostate cancer: a qualitative study,10.1136/bmjopen-2021-055566,UK,"semistructured interviews, thematic analysis","Yes; qualitative data was used to explore men's experiences and factors influencing adherence to diet and physical activity interventions following prostatectomy, through interviews analyzed thematically to identify barriers and facilitators to behaviour change.",Small sample size; limited depth in responses due to interviews being part of a feasibility RCT; lack of representativeness of sample (mostly white men).,No,Not applicable
Women's views and experiences of two alternative consent pathways for participation in a preterm intrapartum trial: a qualitative study,10.1186/s13063-017-2149-3,UK,"semi-structured interviews, inductive thematic analysis",Yes; qualitative data was used to explore women's views and experiences of two alternative consent pathways for participation in the Cord Pilot Trial through interviews and thematic analysis.,Not mentioned,No,Not applicable
